,GSM160306,GSM160307,GSM160308,GSM160309,GSM160310,GSM160311
1000_at,951.6,985.7,265.1,956.1,508.9,1090.9
1001_at,92.7,66.2,25,69.5,50.1,52.1
1002_f_at,40.1,29.7,20,46.3,21,39.1
1003_s_at,-11.4,-19.6,-18.1,-85.1,5.6,-225.6
1004_at,20.3,35.2,20.1,-27.9,-4.4,-21
1005_at,637.1,90.8,182.3,688.4,138.2,151.4
1006_at,20.2,-11.2,9.3,20.3,23.2,23.9
1007_s_at,581,587.1,180.4,724.4,424.4,622.5
1008_f_at,224.1,297.8,277.3,308.6,355,310.2
1009_at,2488,3052.6,1021.3,2547.2,3126.6,2632.7
100_g_at,286.2,371.1,104.7,277.2,373.3,366.9
1010_at,53.1,57.5,21.5,81.8,47.3,63.8
1011_s_at,240.7,420.6,110,252.6,402.7,494.3
1012_at,1.9,14.4,0.1,-3.2,7.2,18.6
1013_at,2.6,3.9,0.5,10.2,8.3,15.7
1014_at,23.6,38.7,-13.2,49.2,51.8,41.1
1015_s_at,-208.2,-212.7,-112.6,-131.6,-203.9,-192.6
1016_s_at,24.9,-8.6,10.4,3.6,28.9,21.8
1017_at,88.9,99.5,21.2,83.8,109.7,103.8
1018_at,146.7,99.6,45.5,130.7,75,162
1019_g_at,564,560.3,144.8,475.2,437.9,464.4
101_at,-0.9,17.1,19,9.6,18.4,31.6
1020_s_at,305.8,320.6,97.9,274.6,275.5,281.7
1021_at,-10.7,7.7,9,10.5,5.9,-1.1
1022_f_at,-5.8,17,14.4,-17.4,49.3,28.9
1023_at,-77.4,-204.6,-17.9,-166.5,-113.1,-133.7
1024_at,-24.3,0.5,17.8,-0.7,-8.4,-13.9
1025_g_at,-1.4,82.9,10.4,26.9,21.9,17.2
1026_s_at,105.3,4.7,2.2,62.5,43.5,72.3
1027_at,-47.4,-56.9,-26.1,43,47.6,62.6
1028_at,46.5,41.7,38.3,46.5,31.9,29
1029_s_at,-3.6,-13.9,-1.8,-15.4,-9.3,6.1
102_at,19.9,24.8,5,17.7,16,22.9
1030_s_at,739.3,620,204.7,420.2,651.5,675.6
1031_at,188.7,156.4,61.6,116.9,152.8,142.1
1032_at,370.3,399.7,83.9,312.9,285.7,319.7
1033_g_at,41.6,24,18.1,44.7,17.5,60.8
1034_at,143.4,246.1,68.3,162.3,192.1,212.2
1035_g_at,191.8,286.5,102,175.4,120.7,214.9
1036_at,10.3,10,4.8,8.9,-5.8,0.2
1037_at,-28.7,-16.5,-15.4,-21.3,-21.7,-15.9
1038_s_at,452.4,197.7,53.2,163.2,157.2,178.8
1039_s_at,644.1,288.5,146.7,294.4,201.7,298.6
103_at,47.5,39.1,18.9,56.8,65.7,77.6
1040_s_at,118.9,139,34.5,113.6,105.9,68.3
1041_at,-17.8,-18.3,9.1,5.1,-29.1,-19.7
1042_at,9.2,0.9,2.3,5.9,-5.5,-2.1
1043_s_at,9,11.1,12,11,5.5,8
1044_s_at,101.7,98,28.4,78.9,63.6,85.8
1045_s_at,30.8,0.1,-1.8,19.4,16.9,40.9
1046_at,52.6,72.1,19.9,57.2,62.8,62.6
1047_s_at,95.6,29.7,6.2,34.2,11,61.4
1048_at,80.7,88.9,22.6,86.8,83.5,72.7
1049_g_at,-178.9,-146.7,-61.6,-78.5,-229,-223.4
104_at,130.1,137.3,42.5,117.5,126.9,120.2
1050_at,2.9,0.3,2,2.2,-0.6,-1.9
1051_g_at,53.2,74.1,24.6,62.9,67.7,45.4
1052_s_at,2235.2,365.4,451.9,1453.2,334.1,618.4
1053_at,76.3,85.3,27.8,70.6,88.9,80.7
1054_at,21.2,15.9,23.5,20.1,46.2,49.2
1055_g_at,78.8,81.1,26.7,97.9,86.6,54.9
1056_s_at,30.9,7.7,6.4,-2.9,16.9,17.2
1057_at,28.9,-14.6,-4.8,42.4,8.6,40
1058_at,422.2,857,212.9,753.5,467.3,847.3
1059_at,164.9,150.9,25.9,84.1,135.1,117.5
105_at,7.5,14.9,27,-9.3,1.6,3
1060_g_at,186.6,228.4,45.9,200.2,168.2,175.1
1061_at,-5.5,-48.6,-14,-23.8,-15.8,-15.2
1062_g_at,62.6,14.5,23.1,39.8,38.1,15.7
1063_s_at,663.9,793.3,284.4,986.4,785.3,720.1
1064_at,124.2,105.2,58.3,161.6,82.2,108.7
1065_at,28.3,88.6,25.8,49.8,57.6,22.5
1066_at,-53.4,-79.6,-16.3,-34.8,-79.4,-53.2
1067_at,73.8,73,20.2,52.8,65.6,19.4
1068_g_at,-180.7,-267.8,-91.4,-159.4,-242.4,-204.7
1069_at,291.5,22.7,90.1,289,42.9,32.4
106_at,20.9,0.3,14.9,14.5,9.6,12.9
1070_at,181,121.5,18.3,64.3,108,125.9
1071_at,-44.8,-69.4,23,-31.8,-63.7,-64.1
1072_g_at,208.3,302.1,109.1,147.9,251.5,228.1
1073_at,347.1,369.9,103,274.3,426.4,405.5
1074_at,283.1,280.8,113.7,399.7,245.9,373.8
1075_f_at,15.3,13,5.2,7.1,7,15
1076_at,34,41.7,15.5,31.1,29.3,21
1077_at,15.6,-1.3,2.2,-5.8,-3.3,3.9
1078_at,-35,-26.5,6.4,-40.7,-32.5,-14.2
