name	version	direction
shiny	1.10.0	smaller
BiocManager	1.30.25	smaller
ggplot2	3.5.1	smaller
stringr	1.5.1	smaller
dplyr 1.1.4	smaller
purrr	1.0.2	smaller
fuzzyjoin	0.1.6	smaller
plotly		4.10.4	smaller
gplots	3.2.0	smaller
heatmaply	1.5.0	smaller
data.table	1.16.2	smaller
DT	0.33	smaller
shinyWidgets	0.8.7	smaller
shinycssloaders	1.1.0	smaller
shinybusy	0.3.3	smaller
prompter	1.2.0	smaller
htmlwidgets	1.6.4	smaller
igraph	2.1.1	smaller
ggraph	2.2.1	smaller
shinyjqui	0.4.1	smaller
colourpicker	1.3.0	smaller
colorspace	2.1.1	smaller
knitr	1.49	smaller
rmarkdown	2.29	smaller
circlize	0.4.16	smaller	
